gusanob1520out,diab1520out,bombeo1520out
1,1,108
1,1,102
1,1,106
2,1,106
2,1,107
2,1,110
3,1,111
3,1,105
3,1,108
4,1,111
4,1,107
4,1,111
5,1,104
5,1,105
5,1,105
6,1,104
6,1,101
7,1,100
7,1,103
7,1,99
8,1,102
8,1,103
8,1,103
9,1,101
9,1,105
9,1,110
10,1,107
10,1,108
11,1,107
11,1,108
11,1,103
12,1,107
12,1,108
12,1,100
13,1,104
14,1,108
14,1,103
14,1,103
15,1,102
15,1,103
15,1,102
16,1,110
17,1,103
17,1,105
17,1,106
18,1,109
18,1,102
18,1,105
19,1,111
20,1,114
20,1,108
20,1,104
1,2,98
1,2,89
1,2,95
2,2,85
2,2,89
2,2,88
3,2,99
3,2,94
3,2,93
4,2,96
4,2,95
4,2,101
5,2,90
5,2,88
5,2,91
6,2,106
6,2,112
6,2,115
7,2,111
7,2,99
7,2,100
8,2,109
8,2,104
8,2,106
9,2,90
9,2,87
9,2,89
10,2,95
10,2,95
10,2,102
11,2,84
11,2,87
11,2,94
12,2,89
12,2,87
12,2,87
13,2,96
13,2,91
13,2,90
14,2,95
14,2,90
14,2,90
15,2,89
15,2,90
15,2,90
16,2,92
16,2,96
16,2,93
17,2,95
17,2,92
17,2,96
18,2,105
18,2,107
18,2,108
19,2,82
19,2,84
19,2,88
20,2,100
20,2,109
20,2,101
1,3,87
1,3,87
1,3,89
2,3,92
2,3,99
2,3,99
3,3,102
3,3,100
3,3,101
4,3,104
4,3,117
4,3,113
5,3,90
5,3,98
5,3,85
6,3,102
6,3,103
6,3,99
7,3,93
7,3,92
7,3,93
8,3,89
8,3,106
8,3,99
9,3,99
9,3,105
9,3,100
10,3,98
10,3,102
10,3,100
11,3,82
11,3,78
11,3,83
12,3,83
12,3,92
12,3,92
13,3,88
13,3,86
13,3,87
14,3,91
14,3,95
14,3,94
15,3,89
15,3,85
15,3,89
16,3,99
16,3,103
16,3,103
17,3,110
17,3,116
18,3,114
18,3,107
18,3,108
19,3,98
19,3,90
19,3,99
20,3,102
20,3,95
20,3,93
1,4,88
1,4,86
1,4,84
2,4,99
2,4,93
2,4,99
3,4,96
3,4,103
3,4,96
4,4,95
4,4,93
4,4,95
6,4,93
7,4,95
7,4,100
7,4,100
8,4,91
8,4,97
8,4,93
9,4,102
9,4,98
9,4,103
10,4,94
10,4,96
10,4,92
11,4,89
11,4,92
11,4,91
12,4,92
12,4,95
12,4,102
13,4,90
13,4,87
13,4,92
14,4,100
14,4,93
14,4,103
15,4,101
15,4,99
15,4,96
16,4,84
16,4,82
17,4,90
17,4,86
17,4,88
18,4,93
18,4,107
18,4,109
19,4,99
19,4,94
19,4,95
20,4,101
20,4,99
20,4,96
1,5,88
1,5,85
1,5,92
2,5,97
2,5,90
2,5,93
3,5,94
3,5,93
3,5,90
4,5,99
4,5,97
4,5,99
6,5,94
6,5,97
6,5,97
7,5,96
7,5,93
7,5,94
8,5,91
8,5,97
8,5,93
9,5,102
9,5,98
9,5,103
10,5,94
10,5,96
10,5,92
11,5,89
11,5,92
11,5,91
12,5,93
12,5,92
12,5,98
13,5,86
13,5,82
13,5,81
14,5,101
14,5,100
14,5,98
15,5,91
15,5,98
15,5,94
16,5,90
16,5,88
16,5,93
17,5,89
17,5,84
17,5,89
18,5,90
18,5,84
18,5,89
19,5,82
19,5,78
20,5,83
20,5,82
20,5,83
1,6,95
1,6,85
2,6,75
2,6,90
2,6,86
3,6,73
3,6,70
3,6,73
4,6,84
4,6,85
4,6,86
6,6,70
6,6,87
6,6,77
7,6,79
7,6,72
7,6,73
8,6,85
8,6,82
8,6,86
10,6,90
10,6,83
10,6,85
11,6,74
11,6,80
11,6,86
12,6,89
12,6,86
13,6,82
13,6,82
13,6,81
14,6,84
14,6,80
14,6,77
15,6,73
15,6,81
15,6,79
16,6,80
16,6,75
16,6,81
17,6,86
17,6,80
17,6,78
18,6,89
18,6,84
18,6,85
19,6,77
19,6,74
19,6,77
20,6,79
20,6,74
20,6,82
1,7,80
1,7,81
1,7,83
2,7,96
2,7,88
2,7,84
3,7,69
3,7,72
3,7,85
4,7,94
4,7,86
4,7,84
5,7,96
5,7,90
5,7,87
6,7,92
6,7,91
6,7,89
7,7,92
7,7,86
7,7,89
8,7,88
8,7,81
8,7,74
9,7,86
9,7,86
9,7,86
10,7,76
10,7,72
11,7,78
11,7,71
11,7,79
12,7,84
12,7,90
12,7,90
13,7,81
13,7,85
13,7,85
14,7,83
14,7,78
14,7,79
15,7,73
15,7,73
15,7,69
16,7,87
16,7,78
16,7,83
17,7,82
17,7,80
17,7,78
18,7,82
18,7,82
18,7,85
19,7,85
19,7,86
19,7,88
20,7,84
20,7,81
20,7,74
1,8,69
1,8,68
1,8,79
2,8,73
2,8,77
2,8,80
3,8,68
3,8,71
3,8,65
4,8,68
4,8,67
4,8,67
5,8,71
5,8,62
5,8,68
6,8,63
6,8,71
6,8,72
7,8,77
7,8,70
7,8,69
8,8,81
8,8,80
8,8,80
9,8,82
9,8,73
9,8,76
10,8,73
10,8,77
10,8,71
11,8,75
11,8,78
11,8,73
12,8,84
12,8,82
12,8,85
13,8,79
13,8,77
13,8,73
14,8,78
14,8,78
14,8,79
15,8,72
15,8,68
15,8,67
16,8,73
16,8,70
16,8,67
17,8,63
17,8,70
17,8,74
18,8,87
18,8,82
18,8,82
19,8,74
19,8,76
19,8,74
20,8,79
20,8,88
20,8,86
1,9,66
1,9,59
1,9,63
2,9,68
2,9,65
2,9,67
3,9,95
3,9,91
3,9,85
4,9,82
4,9,78
4,9,73
5,9,63
5,9,62
5,9,69
6,9,85
6,9,82
6,9,81
7,9,99
7,9,100
8,9,82
8,9,77
8,9,80
9,9,73
9,9,71
9,9,69
10,9,88
10,9,86
10,9,82
11,9,74
11,9,73
11,9,72
12,9,85
12,9,77
12,9,81
13,9,76
13,9,74
13,9,77
14,9,79
14,9,71
14,9,70
15,9,63
15,9,63
15,9,66
16,9,77
16,9,77
16,9,70
17,9,54
17,9,61
17,9,66
18,9,66
18,9,67
18,9,70
19,9,68
19,9,68
19,9,68
20,9,74
20,9,70
20,9,75
2,10,66
2,10,67
2,10,73
3,10,73
3,10,65
3,10,62
4,10,80
4,10,82
4,10,82
5,10,51
5,10,59
5,10,52
6,10,79
6,10,68
6,10,77
7,10,63
7,10,64
7,10,68
8,10,70
8,10,72
8,10,70
9,10,68
9,10,67
9,10,68
10,10,80
10,10,74
10,10,72
11,10,65
11,10,68
11,10,66
12,10,66
12,10,75
12,10,72
13,10,70
13,10,64
13,10,71
14,10,77
14,10,76
14,10,76
15,10,51
15,10,55
15,10,63
16,10,60
16,10,51
16,10,59
17,10,64
17,10,65
17,10,63
18,10,77
18,10,70
19,10,65
19,10,71
19,10,72
20,10,68
20,10,74
20,10,75
