dia1b15out,dia2b15out,dia3b15out,dia4b15out,dia5b15out,dia6b15out,dia7b15out,dia8b15out,dia9b15out,dia10b15out
108,98,87,88,88,95,80,69,66,
102,89,87,86,85,85,81,68,59,50
106,95,89,84,92,99,83,79,63,
106,85,92,99,97,75,96,73,68,66
107,89,99,93,90,90,88,77,65,67
110,88,99,99,93,86,84,80,67,73
111,99,102,96,94,73,69,68,95,73
105,94,100,103,93,70,72,71,91,65
108,93,101,96,90,73,85,65,85,62
111,96,104,95,99,84,94,68,82,80
107,95,117,93,97,85,86,67,78,82
111,101,113,95,99,86,84,67,73,82
104,90,90,,,61,96,71,63,51
105,88,98,,,,90,62,62,59
105,91,85,,,,87,68,69,52
104,106,102,,94,70,92,63,85,79
101,112,103,,97,87,91,71,82,68
,115,99,93,97,77,89,72,81,77
100,111,93,95,96,79,92,77,,63
103,99,92,100,93,72,86,70,99,64
99,100,93,100,94,73,89,69,100,68
102,109,89,91,91,85,88,81,82,70
103,104,106,97,97,82,81,80,77,72
103,106,99,93,93,86,74,80,80,70
101,90,99,102,102,,86,82,73,68
105,87,105,98,98,,86,73,71,67
110,89,100,103,103,,86,76,69,68
,95,98,94,94,90,76,73,88,80
107,95,102,96,96,83,72,77,86,74
108,102,100,92,92,85,,71,82,72
107,84,82,89,89,74,78,75,74,65
108,87,78,92,92,80,71,78,73,68
103,94,83,91,91,86,79,73,72,66
107,89,83,92,93,89,84,84,85,66
108,87,92,95,92,86,90,82,77,75
100,87,92,102,98,98,90,85,81,72
,96,88,90,86,82,81,79,76,70
,91,86,87,82,82,85,77,74,64
104,90,87,92,81,81,85,73,77,71
108,95,91,100,101,84,83,78,79,77
103,90,95,93,100,80,78,78,71,76
103,90,94,103,98,77,79,79,70,76
102,89,89,101,91,73,73,72,63,51
103,90,85,99,98,81,73,68,63,55
102,90,89,96,94,79,69,67,66,63
,92,99,84,90,80,87,73,77,60
,96,103,78,88,75,78,70,77,51
110,93,103,82,93,81,83,67,70,59
103,95,,90,89,86,82,63,54,64
105,92,110,86,84,80,80,70,61,65
106,96,116,88,89,78,78,74,66,63
109,105,114,93,90,89,82,87,66,77
102,107,107,107,84,84,82,82,67,
105,108,108,109,89,85,85,82,70,70
,82,98,99,82,77,85,74,68,65
,84,90,94,78,74,86,76,68,71
111,88,99,95,73,77,88,74,68,72
114,100,102,101,83,79,84,79,74,68
108,109,95,99,82,74,81,88,70,74
104,101,93,96,83,82,74,86,75,75
