gusanob15out2,dia1b15out2,dia2b15out2,dia3b15out2,dia4b15out2,dia5b15out2,dia6b15out2,dia7b15out2,dia8b15out2,dia9b15out2,dia10b15out2
1,108,98,87,88,88,95,80,69,66,
1,102,89,87,86,85,85,81,68,59,
1,106,95,89,84,92,,83,79,63,
2,106,85,92,99,97,75,96,73,68,66
2,107,89,99,93,90,90,88,77,65,67
2,110,88,99,99,93,86,84,80,67,73
3,111,99,102,96,94,73,69,68,95,73
3,105,94,100,103,93,70,72,71,91,65
3,108,93,101,96,90,73,85,65,85,62
4,111,96,104,95,99,84,94,68,82,80
4,107,95,117,93,97,85,86,67,78,82
4,111,101,113,95,99,86,84,67,73,82
5,104,90,90,,,,96,71,63,51
5,105,88,98,,,,90,62,62,59
5,105,91,85,,,,87,68,69,52
6,104,106,102,,94,70,92,63,85,79
6,101,112,103,,97,87,91,71,82,68
6,,115,99,93,97,77,89,72,81,77
7,100,111,93,95,96,79,92,77,,63
7,103,99,92,100,93,72,86,70,99,64
7,99,100,93,100,94,73,89,69,100,68
8,102,109,89,91,91,85,88,81,82,70
8,103,104,106,97,97,82,81,80,77,72
8,103,106,99,93,93,86,74,80,80,70
9,101,90,99,102,102,,86,82,73,68
9,105,87,105,98,98,,86,73,71,67
9,110,89,100,103,103,,86,76,69,68
10,,95,98,94,94,90,76,73,88,80
10,107,95,102,96,96,83,72,77,86,74
10,108,102,100,92,92,85,,71,82,72
11,107,84,82,89,89,74,78,75,74,65
11,108,87,78,92,92,80,71,78,73,68
11,103,94,83,91,91,86,79,73,72,66
12,107,89,83,92,93,89,84,84,85,66
12,108,87,92,95,92,86,90,82,77,75
12,100,87,92,102,98,98,90,85,81,72
13,,96,88,90,86,82,81,79,76,70
13,,91,86,87,82,82,85,77,74,64
13,104,90,87,92,81,81,85,73,77,71
14,108,95,91,100,101,84,83,78,79,77
14,103,90,95,93,100,80,78,78,71,76
14,103,90,94,103,98,77,79,79,70,76
15,102,89,89,101,91,73,73,72,63,51
15,103,90,85,99,98,81,73,68,63,55
15,102,90,89,96,94,79,69,67,66,63
16,,92,99,84,90,80,87,73,77,60
16,,96,103,,88,75,78,70,77,51
16,110,93,103,82,93,81,83,67,70,59
17,103,95,,90,89,86,82,63,54,64
17,105,92,110,86,84,80,80,70,61,65
17,106,96,116,88,89,78,78,74,66,63
18,109,105,114,93,90,89,82,87,66,77
18,102,107,107,107,84,84,82,82,67,
18,105,108,108,109,89,85,85,82,70,70
19,,82,98,99,82,77,85,74,68,65
19,,84,90,94,78,74,86,76,68,71
19,111,88,99,95,,77,88,74,68,72
20,114,100,102,101,83,79,84,79,74,68
20,108,109,95,99,82,74,81,88,70,74
20,104,101,93,96,83,82,74,86,75,75
