gusanob2020o2,diab2020outo2,bombeo 2020outo2
1,1,106
1,1,104
1,1,111
2,1,105
2,1,102
2,1,102
3,1,95
3,1,97
3,1,98
4,1,105
4,1,105
4,1,104
5,1,96
5,1,99
5,1,102
6,1,102
6,1,102
6,1,103
7,1,106
7,1,111
7,1,103
8,1,106
8,1,101
8,1,101
9,1,99
9,1,100
9,1,99
10,1,99
10,1,97
10,1,98
11,1,98
11,1,98
11,1,102
12,1,105
12,1,106
12,1,107
13,1,99
13,1,102
13,1,96
14,1,100
14,1,99
14,1,99
15,1,105
15,1,103
15,1,98
16,1,113
16,1,105
16,1,101
17,1,100
17,1,98
17,1,99
18,1,102
18,1,99
18,1,101
19,1,102
19,1,105
19,1,101
20,1,100
20,1,103
20,1,106
1,2,99
1,2,91
1,2,89
2,2,101
2,2,96
2,2,93
3,2,91
3,2,90
3,2,92
4,2,91
4,2,95
4,2,100
5,2,101
5,2,101
5,2,100
6,2,92
6,2,101
6,2,96
7,2,101
7,2,98
8,2,101
8,2,95
8,2,98
9,2,99
9,2,88
9,2,97
10,2,93
10,2,97
10,2,90
11,2,99
11,2,96
11,2,98
12,2,98
12,2,100
12,2,95
13,2,94
13,2,96
13,2,96
14,2,93
14,2,92
14,2,92
15,2,102
15,2,95
15,2,94
16,2,96
16,2,98
16,2,97
17,2,97
17,2,98
17,2,97
18,2,98
18,2,96
18,2,91
19,2,89
19,2,86
19,2,99
20,2,98
20,2,96
20,2,95
1,3,79
1,3,81
1,3,91
2,3,88
2,3,89
2,3,88
3,3,75
3,3,80
3,3,81
4,3,91
4,3,91
4,3,91
5,3,85
5,3,100
5,3,93
6,3,96
6,3,93
6,3,99
7,3,97
7,3,93
7,3,95
8,3,79
8,3,83
8,3,86
9,3,95
9,3,79
9,3,91
10,3,92
10,3,84
10,3,96
11,3,86
11,3,83
11,3,74
12,3,74
12,3,93
12,3,97
13,3,87
13,3,91
13,3,88
14,3,83
14,3,79
14,3,74
15,3,93
15,3,92
15,3,85
16,3,94
16,3,84
16,3,93
17,3,75
17,3,80
17,3,79
18,3,95
18,3,89
18,3,99
19,3,89
19,3,94
19,3,94
20,3,89
20,3,97
20,3,96
1,4,95
1,4,89
1,4,89
2,4,93
2,4,94
2,4,95
4,4,79
5,4,79
5,4,84
5,4,88
6,4,89
6,4,89
6,4,87
7,4,102
7,4,103
7,4,104
8,4,97
8,4,98
8,4,100
9,4,119
9,4,99
9,4,99
10,4,101
10,4,101
10,4,96
11,4,101
11,4,105
11,4,95
12,4,102
12,4,106
12,4,107
13,4,109
13,4,99
13,4,110
14,4,108
14,4,98
14,4,106
15,4,98
15,4,92
15,4,94
16,4,113
16,4,109
16,4,108
17,4,111
17,4,109
17,4,93
19,4,101
19,4,103
19,4,101
20,4,112
20,4,111
20,4,106
1,5,95
1,5,82
1,5,90
2,5,98
2,5,97
2,5,94
3,5,87
3,5,80
4,5,99
4,5,96
4,5,106
