T4,B2
1,106
1,104
1,111
1,105
1,102
1,102
1,95
1,97
1,98
1,105
1,105
1,104
1,96
1,99
1,102
1,102
1,102
1,103
1,106
1,111
1,103
1,106
1,101
1,101
1,99
1,100
1,99
1,99
1,97
1,98
1,98
1,98
1,102
1,105
1,106
1,107
1,99
1,102
1,96
1,100
1,99
1,99
1,105
1,103
1,98
1,113
1,105
1,101
1,100
1,98
1,99
1,102
1,99
1,101
1,102
1,105
1,101
1,100
1,103
1,106
2,99
2,91
2,89
2,101
2,96
2,93
2,91
2,90
2,92
2,91
2,95
2,100
2,101
2,101
2,100
2,92
2,101
2,96
2,101
2,98
2,101
2,95
2,98
2,99
2,88
2,97
2,93
2,97
2,90
2,99
2,96
2,98
2,98
2,100
2,95
2,94
2,96
2,96
2,93
2,92
2,92
2,102
2,95
2,94
2,96
2,98
2,97
2,97
2,98
2,97
2,98
2,96
2,91
2,89
2,86
2,99
2,98
2,96
2,95
3,79
3,81
3,91
3,88
3,89
3,88
3,75
3,80
3,81
3,91
3,91
3,91
3,85
3,100
3,93
3,96
3,93
3,99
3,97
3,93
3,95
3,79
3,83
3,86
3,95
3,79
3,91
3,92
3,84
3,96
3,86
3,83
3,74
3,74
3,93
3,97
3,87
3,91
3,88
3,83
3,79
3,74
3,93
3,92
3,85
3,94
3,84
3,93
3,75
3,80
3,79
3,95
3,89
3,99
3,89
3,94
3,94
3,89
3,97
3,96
4,95
4,89
4,89
4,93
4,94
4,95
4,71
4,79
4,68
4,79
4,84
4,88
4,89
4,89
4,87
4,102
4,103
4,104
4,97
4,98
4,100
4,119
4,99
4,99
4,101
4,101
4,96
4,101
4,105
4,95
4,102
4,106
4,107
4,109
4,99
4,110
4,108
4,98
4,106
4,98
4,92
4,94
4,113
4,109
4,108
4,111
4,109
4,93
4,101
4,103
4,101
4,112
4,111
4,106
5,95
5,82
5,90
5,98
5,97
5,94
5,87
5,80
5,99
5,96
5,106
5,101
5,96
5,98
5,98
5,99
5,100
5,108
5,96
5,106
5,107
5,103
5,118
5,113
5,113
5,116
5,112
5,116
5,117
5,121
5,112
5,112
5,97
5,108
5,116
5,99
5,104
5,99
5,111
5,106
5,98
5,108
5,108
5,112
5,84
5,91
5,93
5,105
5,95
5,105
5,107
5,108
5,109
6,110
6,96
6,102
6,109
6,109
6,110
6,120
6,107
6,108
6,108
6,111
6,109
6,102
6,107
6,110
6,108
6,106
6,103
6,112
6,121
6,97
6,122
6,120
6,122
6,112
6,108
6,108
6,110
6,113
6,112
6,114
6,113
6,127
6,107
6,107
6,101
6,104
6,102
6,99
6,100
6,103
6,99
6,100
6,101
6,94
6,91
6,88
6,93
6,108
6,114
6,112
6,106
6,111
6,112
7,83
7,79
7,78
7,61
7,65
7,87
7,91
7,82
7,92
7,92
7,91
7,96
7,96
7,89
7,105
7,103
7,100
7,90
7,72
7,89
7,61
7,60
7,79
7,82
7,77
7,84
7,95
7,92
7,92
7,90
7,93
7,97
7,91
7,99
7,86
7,88
7,87
7,74
7,71
7,72
7,88
7,82
7,83
7,79
7,87
7,81
7,91
7,93
7,99
7,77
7,80
7,78
8,67
8,78
8,70
8,73
8,72
8,62
8,68
8,76
8,69
8,59
8,55
8,57
8,91
8,57
8,89
8,91
8,83
8,84
8,82
8,75
8,80
8,68
8,73
8,73
8,72
8,70
8,75
8,87
8,85
8,80
8,77
8,76
8,72
8,71
8,73
8,66
8,76
8,74
8,72
8,45
8,52
8,55
8,79
8,75
8,76
8,87
8,86
8,80
8,82
8,78
8,84
9,60
9,54
9,56
9,59
9,59
9,62
9,84
9,73
9,79
9,91
9,84
9,77
9,92
9,92
9,93
9,86
9,79
9,70
9,75
9,73
9,72
9,68
9,70
9,68
9,73
9,82
9,72
9,91
9,84
9,83
9,79
9,72
9,71
9,75
9,69
9,79
9,75
9,73
9,73
9,64
9,59
9,63
9,81
9,79
9,76
9,75
9,75
9,76
10,31
10,28
10,28
10,33
10,37
10,42
10,72
10,71
10,67
10,61
10,63
10,60
10,76
10,79
10,79
10,80
10,75
10,79
10,60
10,60
10,62
10,66
10,64
10,66
10,74
10,72
10,66
10,67
10,68
10,60
10,61
10,65
10,58
10,48
10,45
10,43
10,48
10,46
10,48
10,75
10,70
10,71
10,70
10,61
10,63
10,61
10,79
10,64
