T2,D1
1,54
1,58
1,50
1,52
1,50
1,55
1,44
1,59
1,40
1,51
1,59
1,70
1,59
1,62
1,60
1,61
1,59
1,57
1,51
1,56
1,51
1,62
1,59
1,55
1,55
1,61
1,59
1,62
1,54
1,64
1,50
1,63
1,56
1,53
1,59
1,75
1,81
1,71
1,78
1,62
1,71
1,74
1,74
1,70
1,66
1,65
1,66
1,66
1,62
1,65
1,53
1,64
1,43
1,54
1,51
1,57
1,45
1,57
1,39
1,55
1,77
1,73
1,70
1,71
1,66
1,69
1,65
1,72
1,77
1,71
1,75
1,69
1,66
1,67
1,67
1,69
1,73
1,68
1,65
1,64
1,64
1,64
2,77
2,76
2,83
2,72
2,56
2,75
2,53
2,52
2,89
2,75
2,69
2,71
2,65
2,77
2,53
2,70
2,85
2,75
2,69
2,59
2,61
2,67
2,59
2,62
2,75
2,74
2,71
2,66
2,64
2,68
2,59
2,59
2,57
2,73
2,75
2,62
2,69
2,66
2,63
2,71
2,52
2,59
2,79
2,91
2,78
2,73
2,73
2,70
2,66
2,62
2,86
2,72
2,81
2,65
2,87
2,63
2,96
2,96
2,87
2,81
2,72
2,66
2,73
2,94
2,85
2,76
2,76
2,83
2,66
2,70
2,89
2,81
2,82
2,77
2,72
2,79
2,69
3,74
3,74
3,64
3,71
3,68
3,71
3,55
3,74
3,88
3,88
3,70
3,76
3,83
3,73
3,71
3,98
3,89
3,81
3,89
3,72
3,75
3,75
3,80
3,95
3,82
3,96
3,76
3,74
3,76
3,84
3,95
3,82
3,96
3,76
3,74
3,76
3,92
3,74
3,77
3,75
3,69
3,70
3,70
3,87
3,89
3,74
3,70
3,70
3,95
3,89
3,86
3,87
3,72
3,78
3,76
3,90
3,87
3,81
3,78
3,71
3,71
3,75
3,103
3,107
3,93
3,94
4,87
4,79
4,66
4,80
4,68
4,74
4,63
4,71
4,83
4,76
4,69
4,73
4,66
4,65
4,63
4,60
4,78
4,76
4,71
4,68
4,72
4,65
4,73
4,78
4,88
4,70
4,77
4,75
4,70
4,85
4,84
4,83
4,82
4,101
4,85
4,72
4,78
4,76
4,74
4,75
4,84
4,84
4,81
4,78
4,77
4,78
4,69
4,97
4,91
4,83
4,86
4,77
4,76
4,75
4,92
4,93
4,81
4,84
4,78
4,76
4,74
4,89
5,90
5,102
5,93
5,92
5,84
5,82
5,108
5,110
5,101
5,94
5,88
5,82
5,109
5,97
5,97
5,92
5,112
5,108
5,100
5,91
5,87
5,81
5,92
5,91
5,89
5,85
5,83
5,79
5,99
5,97
5,82
5,89
5,94
5,83
5,110
5,105
5,98
5,96
5,90
5,87
5,91
5,83
5,85
5,78
5,75
5,72
5,69
5,93
5,95
5,93
5,92
5,82
5,84
5,117
5,123
6,102
6,108
6,91
6,93
6,85
6,88
6,76
6,62
6,56
6,100
6,92
6,114
6,77
6,74
6,76
6,70
6,72
6,84
6,58
6,65
6,129
6,125
6,108
6,104
6,98
6,97
6,98
6,92
6,87
6,83
6,81
6,105
6,96
6,95
6,89
6,83
6,85
6,139
6,126
6,135
6,100
6,115
6,105
6,109
6,98
6,95
6,117
6,113
6,102
6,96
6,87
6,139
6,118
6,117
6,108
7,94
7,99
7,95
7,99
7,88
7,95
7,74
7,83
7,84
7,86
7,86
7,75
7,69
7,127
7,142
7,129
7,131
7,84
7,103
7,99
7,89
7,88
7,91
7,123
7,112
7,96
7,90
7,119
7,114
7,120
7,111
7,95
7,140
7,143
7,116
7,123
7,108
7,118
7,108
7,101
7,92
7,104
7,112
7,105
7,112
7,87
7,129
7,121
7,118
7,114
7,103
8,112
8,131
8,74
8,85
8,91
8,88
8,82
8,84
8,82
8,103
8,61
8,85
8,62
8,141
8,127
8,119
8,122
8,70
8,103
8,101
8,80
8,79
8,75
8,70
8,65
8,77
8,68
8,69
8,83
8,88
8,84
8,141
8,139
8,126
8,118
8,117
8,114
8,107
8,101
8,92
8,95
8,98
8,96
8,90
8,90
8,81
8,140
8,145
8,120
8,114
8,101
8,95
8,89
8,87
8,93
8,97
9,127
9,115
9,110
9,95
9,80
9,137
9,146
9,117
9,104
9,89
9,95
9,87
9,90
9,75
9,79
9,119
9,110
9,105
9,99
9,97
9,135
9,130
9,118
9,119
9,130
9,127
9,118
9,111
9,98
9,108
9,77
9,95
9,78
9,85
9,119
9,120
9,114
9,125
9,97
9,124
9,125
9,107
9,101
9,103
9,109
9,122
9,105
9,106
9,104
10,111
10,84
10,86
10,95
10,87
10,83
10,112
10,102
10,99
10,99
10,92
10,80
10,122
10,109
10,125
10,97
10,119
10,128
10,114
10,108
10,97
10,103
10,130
10,126
10,122
10,115
10,140
10,120
10,96
10,107
10,131
10,95
10,104
10,107
10,96
10,89
10,77
10,75
10,74
10,68
10,73
10,135
10,124
10,116
10,109
10,111
10,112
10,105
10,106
10,93
10,91
10,89
