gusano,dia1,dia2,dia3,dia4,dia5,dia6,dia7,dia8,dia9,dia10,, 
1,52,68,68.87,73.5,90.5,94.5,95,96.83,105.4,91,,
2,58.6,71.12,78.42,69.37,97.16,83.33,79.57,79.85,126,97.33,,
3,58.1,67.12,82.71,71.66,98.75,72,132.25,127.25,85.83,114.4,,
4,57.75,65.88,82.71,75.85,96.5,112.8,92.33,82.57,106,110,,
5,73,65.55,83.28,83.5,86.5,88.08,105.25,76.28,125.5,123.25,,
6,67.87,74,75.28,80.14,90.66,92.16,111.8,131,121.5,118.66,,
7,53,75.66,78,78.71,97.66,125,130.5,106.2,90.16,108.8,,
8,70.37,81.57,83.28,83.57,80.66,103.66,105.4,91.66,115,78.85,,
9,70.12,78.57,81.4,82.57,89.83,103,104,129.75,112,119,,
10,66.33,78.42,99.25,89,120,120.5,117,93.66,109.2,99.33,,
