Gusano ,Dia 1,Dia 2,Dia 3,Dia 4,Dia 5,Dia 6,Dia 7,Dia 8,Dia 9,Dia 10
1,99,97,107,124,109,99,90,103,76,83
1,86,91,113,112,102,92,93,99,82,82
1,88,98,116,117,101,92,78,95,91,87
2,90,100,115,109,104,99,96,105,90,88
2,90,92,110,108,107,99,79,109,88,90
2,90,90,112,112,106,81,81,106,94,88
3,69,99,124,80,103,99,71,109,82,92
3,77,97,119,95,102,97,85,109,78,92
3,84,99,121,115,106,90,40,105,66,99
4,96,100,74,105,115,61,94,100,97,42
4,95,102,90,112,113,58,87,105,96,52
4,98,98,95,111,108,59,90,96,72,50
5,95,98,121,107,113,98,99,98,84,85
5,98,97,114,112,107,94,105,92,84,70
5,86,96,114,106,107,87,104,86,79,83
6,92,113,102,105,106,91,123,5,68,62
6,93,128,102,101,100,103,124,2,65,48
6,97,121,100,104,97,89,120,5,65,46
7,93,112,122,102,114,73,107,100,85,75
7,90,116,117,112,107,105,109,99,94,73
7,95,113,115,102,109,91,116,111,94,67
8,99,97,118,106,101,93,99,47,67,54
8,100,107,122,111,102,94,68,49,51,55
8,97,11,120,90,99,92,67,64,37,40
9,95,103,111,77,109,68,109,98,99,65
9,97,102,122,98,94,91,105,100,99,64
9,94,101,110,88,106,70,108,96,95,72
10,94,102,133,121,101,101,105,60,84,97
10,92,102,101,97,111,91,104,43,94,88
10,92,106,124,111,102,99,105,47,85,77
