dia3b20ci,dia4b20ci,dia5b20ci,dia6b20ci,dia7b20ci,dia8b20ci,dia9b20ci
79,95,95,110,83,67,60
81,89,82,96,79,78,54
91,89,90,102,78,70,56
88,93,98,109,61,73,59
89,94,97,109,65,72,59
88,95,94,110,87,62,62
75,71,87,120,91,68,84
80,79,80,107,82,76,73
81,68,99,108,92,69,79
91,79,96,108,92,59,91
91,84,106,111,91,55,84
91,88,101,109,96,57,77
85,89,96,102,96,91,92
100,89,98,107,89,57,92
93,87,98,110,105,89,93
96,102,99,108,103,91,86
93,103,100,106,100,83,79
99,104,108,103,90,84,70
97,97,96,112,72,82,75
93,98,106,121,89,75,73
95,100,107,97,61,80,72
79,119,103,122,60,68,68
83,99,118,120,79,73,70
86,99,113,122,82,73,68
95,101,113,112,77,72,73
79,101,116,108,84,70,82
91,96,112,108,95,75,72
92,101,116,110,92,87,91
84,105,117,113,92,85,84
96,95,121,112,90,80,83
86,102,112,114,93,77,79
83,106,112,113,97,76,72
74,107,97,127,91,72,71
74,109,108,107,99,71,75
93,99,116,107,86,73,69
97,110,99,101,88,66,79
87,108,104,104,87,76,75
91,98,99,102,74,74,73
88,106,111,99,71,72,73
83,98,106,100,72,45,64
79,92,98,103,88,52,59
74,94,108,99,82,55,63
93,113,108,100,83,79,81
92,109,112,101,79,75,79
85,108,84,94,87,76,76
94,111,91,91,81,87,75
84,109,93,88,91,86,75
93,93,105,93,93,80,76
75,101,95,108,99,82,
80,103,105,114,77,78,
79,101,107,112,80,84,
95,112,108,106,78,,
89,111,109,111,,,
99,106,,112,,,
89,,,,,,
94,,,,,,
94,,,,,,
89,,,,,,
97,,,,,,
96,,,,,,
