diad15flig2,defecacion15flig2
6,102
6,108
6,91
6,93
6,85
6,88
6,76
6,62
6,56
6,100
6,92
6,114
6,77
6,74
6,76
6,70
6,72
6,84
6,58
6,65
6,129
6,125
6,108
6,104
6,98
6,97
6,98
6,92
6,87
6,83
6,81
6,105
6,96
6,95
6,89
6,83
6,85
6,139
6,126
6,135
6,100
6,115
6,105
6,109
6,98
6,95
6,117
6,113
6,102
6,96
6,87
6,139
6,118
6,117
6,108
7,94
7,99
7,95
7,99
7,88
7,95
7,74
7,83
7,84
7,86
7,86
7,75
7,69
7,127
7,142
7,129
7,131
7,84
7,103
7,99
7,89
7,88
7,91
7,123
7,112
7,96
7,90
7,119
7,114
7,120
7,111
7,95
7,140
7,143
7,116
7,123
7,108
7,118
7,108
7,101
7,92
7,104
7,112
7,105
7,112
7,87
7,129
7,121
7,118
7,114
7,103
8,112
8,131
8,74
8,85
8,91
8,88
8,82
8,84
8,82
8,103
8,61
8,85
8,62
8,141
8,127
8,119
8,122
8,70
8,103
8,101
8,80
8,79
8,75
8,70
8,65
8,77
8,68
8,69
8,83
8,88
8,84
8,141
8,139
8,126
8,118
8,117
8,114
8,107
8,101
8,92
8,95
8,98
8,96
8,90
8,90
8,81
8,140
8,145
8,120
8,114
8,101
8,95
8,89
8,87
8,93
8,97
9,127
9,115
9,110
9,95
9,80
9,137
9,146
9,117
9,104
9,89
9,95
9,87
9,90
9,75
9,79
9,119
9,110
9,105
9,99
9,97
9,135
9,130
9,118
9,119
9,130
9,127
9,118
9,111
9,98
9,108
9,77
9,95
9,78
9,85
9,119
9,120
9,114
9,125
9,97
9,124
9,125
9,107
9,101
9,103
9,109
9,122
9,105
9,106
9,104
10,111
10,84
10,86
10,95
10,87
10,83
10,112
10,102
10,99
10,99
10,92
10,80
10,122
10,109
10,125
10,97
10,119
10,128
10,114
10,108
10,97
10,103
10,130
10,126
10,122
10,115
10,140
10,120
10,96
10,107
10,131
10,95
10,104
10,107
10,96
10,89
10,77
10,75
10,74
10,68
10,73
10,135
10,124
10,116
10,109
10,111
10,112
10,105
10,106
10,93
10,91
10,89
