dia1d15ci,dia2d15ci,dia3d15ci,dia4d15ci,dia5d15ci,dia6d15ci,dia7d15ci,dia8d15ci,dia9d15ci,dia10d15ci
54,77,74,87,90,102,94,112,127,111
58,76,74,79,102,108,99,131,115,84
50,83,64,66,93,91,95,74,110,86
52,72,71,80,92,93,99,85,95,95
50,56,68,68,84,85,88,91,80,87
55,75,71,74,82,88,95,88,137,83
44,53,55,63,108,76,74,82,146,112
59,52,74,71,110,62,83,84,117,102
40,89,88,83,101,56,84,82,104,99
51,75,88,76,94,100,86,103,89,99
59,69,70,69,88,92,86,61,95,92
70,71,76,73,82,114,75,85,87,80
59,65,83,66,109,77,69,62,90,122
62,77,73,65,97,74,127,141,75,109
60,53,71,63,97,76,142,127,79,125
61,70,98,60,92,70,129,119,119,97
59,85,89,78,112,72,131,122,110,119
57,75,81,76,108,84,84,70,105,128
51,69,89,71,100,58,103,103,99,114
56,59,72,68,91,65,99,101,97,108
51,61,75,72,87,129,89,80,135,97
62,67,75,65,81,125,88,79,130,103
59,59,80,73,92,108,91,75,118,130
55,62,95,78,91,104,123,70,119,126
55,75,82,88,89,98,112,65,130,122
61,74,96,70,85,97,96,77,127,115
59,71,76,77,83,98,90,68,118,140
62,66,74,75,79,92,119,69,111,120
54,64,76,70,99,87,114,83,98,96
64,68,84,85,97,83,120,88,108,107
50,59,95,84,82,81,111,84,77,131
63,59,82,83,89,105,95,141,95,95
56,57,96,82,94,96,140,139,78,104
53,73,76,101,83,95,143,126,85,107
59,75,74,85,110,89,116,118,119,96
75,62,76,72,105,83,123,117,120,89
81,69,92,78,98,85,108,114,114,77
71,66,74,76,96,139,118,107,125,75
78,63,77,74,90,126,108,101,97,74
62,71,75,75,87,135,101,92,124,68
71,52,69,84,91,100,92,95,125,73
74,59,70,84,83,115,104,98,107,135
74,79,70,81,85,105,112,96,101,124
70,91,87,78,78,109,105,90,103,116
66,78,89,77,75,98,112,90,109,109
65,73,74,78,72,95,87,81,122,111
66,73,70,69,69,117,129,140,105,112
66,70,70,97,93,113,121,145,106,105
62,66,95,91,95,102,118,120,104,106
65,62,89,83,93,96,114,114,,93
53,86,86,86,92,87,103,101,,91
64,72,87,77,82,139,,95,,89
43,81,72,76,84,118,,89,,
54,65,78,75,117,117,,87,,
51,87,76,92,123,108,,93,,
57,63,90,93,,,,97,,
45,96,87,81,,,,,,
57,96,81,84,,,,,,
39,87,78,78,,,,,,
55,81,71,76,,,,,,
77,72,71,74,,,,,,
73,66,75,89,,,,,,
70,73,103,,,,,,,
71,94,107,,,,,,,
66,85,93,,,,,,,
69,76,94,,,,,,,
65,76,,,,,,,,
72,83,,,,,,,,
77,66,,,,,,,,
71,70,,,,,,,,
75,89,,,,,,,,
69,81,,,,,,,,
66,82,,,,,,,,
67,77,,,,,,,,
67,72,,,,,,,,
69,79,,,,,,,,
73,69,,,,,,,,
68,,,,,,,,,
65,,,,,,,,,
64,,,,,,,,,
64,,,,,,,,,
64,,,,,,,,,
