dia1d20ci,dia2d20ci,dia3d20ci,dia4d20ci,dia5d20ci,dia6d20ci,dia7d20ci,dia8d20ci,dia9d20ci,dia10d20ci
53,63,77,59,65,76,82,132,95,94
53,52,76,58,59,74,85,120,90,96
53,56,77,52,63,71,150,119,88,96
52,55,72,53,62,69,131,99,92,88
52,54,68,43,66,72,142,111,83,91
49,54,63,48,57,71,132,108,99,92
51,54,65,51,62,68,113,104,133,60
50,55,67,46,68,69,65,131,105,88
46,55,54,50,47,97,71,78,101,105
43,52,56,57,91,69,59,100,95,108
48,55,56,60,99,86,58,79,112,110
44,54,51,62,91,117,54,87,78,96
42,64,63,67,85,98,56,93,76,108
45,43,56,78,91,110,46,91,77,96
44,56,56,66,96,118,49,103,74,82
44,56,53,54,95,121,50,95,75,85
44,56,46,63,92,116,57,87,75,81
43,60,53,68,86,108,105,135,64,87
42,56,51,50,84,60,126,118,69,148
42,55,54,56,76,66,80,136,116,129
42,55,78,61,66,50,96,113,121,126
42,52,62,50,64,55,116,112,129,111
43,55,68,56,74,54,74,110,118,105
43,54,65,54,66,120,118,116,89,90
50,57,58,54,58,63,112,105,90,89
52,51,62,56,52,64,104,104,89,88
48,57,63,68,92,62,87,111,86,94
50,52,61,70,45,67,87,114,88,86
46,55,62,68,48,134,84,111,90,166
47,52,61,69,48,118,87,107,102,150
48,52,60,65,57,53,86,102,107,146
48,53,59,58,87,59,87,100,106,143
44,53,61,59,81,49,91,92,110,139
45,50,62,61,81,63,102,102,98,119
47,50,60,63,77,49,110,107,131,122
45,46,62,84,71,97,99,112,139,
46,50,61,74,68,86,94,125,127,
46,49,57,79,66,92,87,118,129,
45,48,59,73,62,94,106,116,,
46,49,58,73,70,87,104,117,,
45,51,64,46,72,90,92,114,,
44,56,56,54,67,67,98,,,
43,58,58,55,67,58,101,,,
44,58,57,55,65,61,75,,,
44,60,55,54,67,66,95,,,
43,52,55,55,65,67,97,,,
43,55,56,52,63,73,93,,,
53,55,61,55,84,69,93,,,
49,57,58,46,76,66,88,,,
53,56,62,50,71,72,88,,,
49,57,50,61,66,60,,,,
51,55,52,61,67,63,,,,
48,58,48,73,54,66,,,,
47,57,57,65,66,67,,,,
51,55,52,61,70,68,,,,
43,58,56,64,65,66,,,,
50,57,47,51,55,68,,,,
48,65,51,64,62,68,,,,
50,57,51,61,63,67,,,,
45,51,44,64,59,94,,,,
44,55,56,53,63,90,,,,
45,52,48,58,61,92,,,,
46,50,66,58,102,83,,,,
48,51,64,55,110,70,,,,
44,50,68,57,107,83,,,,
47,52,55,47,96,82,,,,
43,48,62,61,97,121,,,,
45,49,58,51,76,116,,,,
45,50,65,60,74,115,,,,
43,47,60,62,75,100,,,,
42,49,64,62,74,104,,,,
44,47,73,59,73,,,,,
51,47,68,62,72,,,,,
52,48,67,61,75,,,,,
52,49,66,59,76,,,,,
54,50,65,61,,,,,,
40,47,65,62,,,,,,
48,63,66,62,,,,,,
43,59,66,80,,,,,,
50,57,,76,,,,,,
41,58,,77,,,,,,
46,60,,87,,,,,,
46,62,,69,,,,,,
45,61,,74,,,,,,
46,57,,74,,,,,,
41,58,,,,,,,,
45,58,,,,,,,,
45,49,,,,,,,,
49,52,,,,,,,,
39,55,,,,,,,,
44,48,,,,,,,,
45,52,,,,,,,,
40,51,,,,,,,,
45,50,,,,,,,,
44,53,,,,,,,,
52,53,,,,,,,,
51,54,,,,,,,,
53,54,,,,,,,,
48,,,,,,,,,
50,,,,,,,,,
50,,,,,,,,,
50,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,
50,,,,,,,,,
48,,,,,,,,,
47,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
47,,,,,,,,,
46,,,,,,,,,
48,,,,,,,,,
45,,,,,,,,,
48,,,,,,,,,
47,,,,,,,,,
46,,,,,,,,,
