dia6d20ci,dia7d20ci,dia8d20ci,dia9d20ci,dia10d20ci
76,82,132,95,94
74,85,120,90,96
71,150,119,88,96
69,131,99,92,88
72,142,111,83,91
71,132,108,99,92
68,113,104,133,60
69,65,131,105,88
97,71,78,101,105
69,59,100,95,108
86,58,79,112,110
117,54,87,78,96
98,56,93,76,108
110,46,91,77,96
118,49,103,74,82
121,50,95,75,85
116,57,87,75,81
108,105,135,64,87
60,126,118,69,148
66,80,136,116,129
50,96,113,121,126
55,116,112,129,111
54,74,110,118,105
120,118,116,89,90
63,112,105,90,89
64,104,104,89,88
62,87,111,86,94
67,87,114,88,86
134,84,111,90,166
118,87,107,102,150
53,86,102,107,146
59,87,100,106,143
49,91,92,110,139
63,102,102,98,119
49,110,107,131,122
97,99,112,139,
86,94,125,127,
92,87,118,129,
94,106,116,,
87,104,117,,
90,92,114,,
67,98,,,
58,101,,,
61,75,,,
66,95,,,
67,97,,,
73,93,,,
69,93,,,
66,88,,,
72,88,,,
60,,,,
63,,,,
66,,,,
67,,,,
68,,,,
66,,,,
68,,,,
68,,,,
67,,,,
94,,,,
90,,,,
92,,,,
83,,,,
70,,,,
83,,,,
82,,,,
121,,,,
116,,,,
115,,,,
100,,,,
104,,,,
