gusano,dia1,dia2,dia3b,dia4b,dia5b,dia6
1,133,110,116,118,47,81
1,128,118,103,120,50,68
1,142,113,114,118,47,51
2,144,126,115,96,74,88
2,118,135,108,104,69,88
2,136,119,114,115,64,107
3,135,146,125,123,113,91
3,134,148,121,132,122,74
3,136,157,129,111,107,91
4,158,148,128,107,109,78
4,146,125,122,98,108,83
4,148,127,124,111,102,99
5,134,138,128,117,109,107
5,131,134,138,140,105,104
5,125,130,133,128,106,107
6,149,136,137,69,120,61
6,162,136,131,73,114,45
6,157,132,127,87,109,51
7,135,127,91,114,105,109
7,140,139,115,99,110,95
7,145,132,108,112,102,83
8,150,138,122,118,120,95
8,156,126,111,117,111,87
8,153,128,110,116,115,90
9,154,142,115,136,117,110
9,158,139,118,128,115,102
9,129,128,123,119,117,111
10,137,146,115,107,96,78
10,130,129,119,101,114,74
10,122,135,120,100,91,73
