Gusano ,Dia 1,Dia 2,Dia 3,Dia 4,Dia 5,Dia 6,Dia 7,Dia 8,Dia 9,Dia 10
1,99,87,87,66,92,37,38,46,64,38
1,107,84,82,61,76,32,45,69,68,54
1,117,83,85,64,77,34,30,69,38,41
2,101,111,111,108,68,82,56,53,33,44
2,108,111,113,117,67,83,53,61,39,46
2,100,107,113,123,60,92,62,35,39,69
3,83,98,103,89,105,77,56,68,61,52
3,94,96,100,90,94,77,61,77,65,39
3,95,88,82,84,86,69,56,70,62,35
4,120,88,113,67,65,88,61,42,44,65
4,114,104,117,73,89,91,58,37,40,56
4,116,100,117,69,66,86,56,33,43,64
5,112,77,87,113,95,45,47,34,70,25
5,124,88,89,99,97,57,45,55,45,19
5,117,65,84,96,94,11,48,34,44,21
6,108,85,112,107,59,54,43,16,52,50
6,107,88,78,94,54,52,42,20,55,53
6,102,62,69,68,56,55,49,16,65,53
7,119,109,104,95,42,62,35,36,62,56
7,106,103,110,85,70,51,34,56,63,56
7,99,99,115,95,71,48,57,64,57,48
8,115,77,97,84,58,70,86,34,44,57
8,117,81,112,73,85,62,80,76,51,61
8,116,78,107,71,66,68,86,48,62,46
9,109,106,93,58,45,50,60,39,28,55
9,115,126,106,89,50,52,43,42,36,48
9,121,115,79,71,47,58,53,48,37,64
10,116,68,68,51,51,64,44,39,55,108
10,123,65,64,59,55,51,43,11,42,103
10,121,74,81,63,61,53,42,53,48,102
